Name,Query,TransfermarktId
Luca Mazzitelli,luca-mazzitelli,226025
Pablo Pérez,pablo-perez,711628
Leandro Romagnoli,leandro-romagnoli,15694
Alessandro Florenzi,alessandro-florenzi,130365
Alisson,alisson,105470
Danilo D'Ambrosio,danilo-dambrosio,55769
Osvaldo Alonso,osvaldo-alonso,62810
Daniel Congré,daniel-congre,22386
Rasmus Elm,rasmus-elm,30391
Isco,isco,85288
Florentin Pogba,florentin-pogba,140497
Jeffrey Gouweleeuw,jeffrey-gouweleeuw,106405
Bogdan Stancu,bogdan-stancu,46658
Bruno Fernandes,bruno-fernandes,240306
Robert Lewandowski,robert-lewandowski,38253
Jean-Paul Boëtius,jean-paul-boetius,182574
Peter Pekarík,peter-pekarik,51100
Kirill Nababkin,kirill-nababkin,38805
Geoffrey Jourdren,geoffrey-jourdren,23938
Miroslav Stoch,miroslav-stoch,45559
Badou Ndiaye,badou-ndiaye,211325
Cafú,cafu,203655
Mattia Caldara,mattia-caldara,197470
Matías Caruzzo,matias-caruzzo,56573
Joshua Brenet,joshua-brenet,207006
Muhammet Demir,muhammet-demir,83560
Martín Cauteruccio,martin-cauteruccio,76599
Marco Ruben,marco-ruben,30825
Juan Martín Lucero,juan-martin-lucero,162807
Bartosz Bereszyński,bartosz-bereszynski,144143
Romain Philippoteaux,romain-philippoteaux,255220
Roberto Gagliardini,roberto-gagliardini,197471
Harun Tekin,harun-tekin,85213
Vitaliy Kaleshin,vitaliy-kaleshin,25856
Timo Horn,timo-horn,84938
Taras Stepanenko,taras-stepanenko,59970
Serge Aurier,serge-aurier,127032
Andre Gray,andre-gray,120565
Aras Özbiliz,aras-ozbiliz,124891
Daniel Amartey,daniel-amartey,214056
Tom Heaton,tom-heaton,34130
Andreas Samaris,andreas-samaris,140032
Nenad Tomović,nenad-tomovic,47085
Mario Balotelli,mario-balotelli,45146
Frédéric Sammaritano,frederic-sammaritano,80173
Danny Simpson,danny-simpson,37442
Michael Lang,michael-lang,51346
Marquinhos,marquinhos,181767
Lewis Holtby,lewis-holtby,55508
Bruma,bruma,139396
Lukas Spalvis,lukas-spalvis,155960
Ignazio Abate,ignazio-abate,16631
Wesley Hoedt,wesley-hoedt,253765
Sofiane Boufal,sofiane-boufal,232271
Allan,allan,126422
Sam Larsson,sam-larsson,159668
Gabriel,gabriel,50703
Arturo Vidal,arturo-vidal,37666
Wojciech Szczęsny,wojciech-szczesny,44058
Pontus Jansson,pontus-jansson,125314
